scaf0054177.1,Bradi2g25640.1|PACid:21808022,45.671641791
scaf7363615.1,Bradi5g27400.2|PACid:21825626,54.4731610338
scaf0356420.1,Bradi4g03980.1|PACid:21812212,6.26702997275
scaf0217632.1,Bradi2g45360.1|PACid:21807364,46.4646464646
scaf0231252.1,Bradi5g24095.1|PACid:21825870,39.9193548387
scaf0078708.2,Bradi1g14580.1|PACid:21822918,55.7746478873
scaf0078708.3,Bradi2g62290.1|PACid:21806758,10.6965174129
scaf0130500.4,Bradi2g16960.1|PACid:21803891,53.264604811
scaf0435555.1,Bradi2g27097.1|PACid:21804050,18.7074829932
scaf0130500.2,Bradi1g76500.1|PACid:21821457,48.2944344704
scaf0130500.1,Bradi3g30757.2|PACid:21827296,46.3768115942
scaf0180053.1,Bradi2g58987.1|PACid:21804531,49.7282608696
scaf0180053.2,Bradi5g21060.1|PACid:21824362,14.7540983607
scaf0322269.1,Bradi5g13197.1|PACid:21825763,41.975308642
scaf7363906.1,Bradi5g16700.3|PACid:21823787,54.0322580645
scaf0092435.1,Bradi1g61130.1|PACid:21816008,51.6339869281
scaf0122337.1,Bradi1g46960.1|PACid:21814906,7.40740740741
scaf0233376.1,Bradi2g17120.1|PACid:21807913,54.5977011494
scaf0118258.1,Bradi3g09087.1|PACid:21833772,56.6153846154
scaf0072703.1,Bradi2g43430.1|PACid:21804879,56.9800569801
scaf0357706.1,Bradi4g17135.1|PACid:21810016,11.3636363636
scaf0073907.1,Bradi2g38947.1|PACid:21805022,20.9081309398
scaf0105619.2,Bradi3g02770.1|PACid:21827390,30.3225806452
scaf0156462.1,Bradi4g20000.1|PACid:21811283,37.5968992248
scaf0357098.1,Bradi4g22820.1|PACid:21810973,3.43347639485
scaf0345064.1,Bradi4g03180.1|PACid:21812575,14.4674085851
scaf0295748.1,Bradi2g51820.1|PACid:21808226,49.6981891348
scaf0436219.1,Bradi2g23670.1|PACid:21803364,46.442687747
scaf0331692.1,Bradi1g19697.1|PACid:21816244,15.0
scaf0158325.1,Bradi2g61050.1|PACid:21803898,28.8065843621
scaf0177662.1,Bradi2g43300.1|PACid:21806991,59.5561035758
scaf0419241.1,Bradi3g24650.1|PACid:21832586,8.28729281768
scaf0346843.1,Bradi4g22510.1|PACid:21812415,38.266384778
scaf0431597.2,Bradi2g17790.1|PACid:21803993,3.1007751938
scaf0089291.1,Bradi2g59700.1|PACid:21802867,33.2326283988
scaf0079662.1,Bradi4g16522.1|PACid:21814579,44.3060498221
scaf0079662.3,Bradi1g62507.1|PACid:21817089,45.0570342205
scaf0054280.1,Bradi2g50250.1|PACid:21802826,46.192893401
scaf0103525.1,Bradi3g06700.1|PACid:21826951,15.5737704918
scaf0002073.1,Bradi3g18027.1|PACid:21830657,53.8310412574
scaf0165106.2,Bradi1g58050.1|PACid:21814848,34.9173553719
scaf0165106.1,Bradi1g35770.2|PACid:21816606,41.548463357
scaf0154003.1,Bradi2g42030.1|PACid:21806623,0.269541778976
scaf0416198.2,Bradi2g46450.1|PACid:21807170,21.9512195122
scaf0435039.1,Bradi2g44550.1|PACid:21802871,40.3560830861
scaf0343100.3,Bradi1g14630.1|PACid:21815148,35.9451518119
scaf0343100.2,Bradi3g02910.1|PACid:21829558,26.5856950067
scaf0015063.4,Bradi1g59587.1|PACid:21816629,24.295010846
scaf0015063.1,Bradi3g42240.1|PACid:21830688,35.1724137931
scaf0188467.1,Bradi3g52070.1|PACid:21830155,58.1578947368
scaf0188467.2,Bradi1g09420.1|PACid:21818062,32.3651452282
scaf0015063.2,Bradi3g42240.1|PACid:21830688,44.1379310345
scaf0317670.1,Bradi2g46750.1|PACid:21806893,51.1156186613
scaf0070166.1,Bradi1g60670.1|PACid:21815850,21.8068535826
scaf0285214.1,Bradi3g31090.1|PACid:21831362,25.1028806584
scaf0083266.1,Bradi4g06300.1|PACid:21814011,13.8790035587
scaf0103739.2,Bradi2g03694.1|PACid:21804940,22.1621621622
scaf0103739.1,Bradi2g28157.1|PACid:21809225,16.8483647175
scaf0011125.1,Bradi4g32370.1|PACid:21810896,43.950617284
scaf0030287.1,Bradi1g46530.1|PACid:21820512,26.267281106
scaf0009994.1,Bradi3g54950.1|PACid:21827525,25.8620689655
scaf0301629.1,Bradi3g48697.1|PACid:21831770,10.5797101449
scaf0301629.2,Bradi4g43870.1|PACid:21811866,14.4736842105
scaf0359289.1,Bradi1g71930.1|PACid:21817952,8.86075949367
scaf0429567.2,Bradi2g07490.1|PACid:21803077,5.58659217877
scaf0429567.1,Bradi2g44020.1|PACid:21802859,47.191011236
scaf0281305.1,Bradi1g10410.1|PACid:21815472,18.7279151943
scaf0198701.1,Bradi1g45320.1|PACid:21815385,29.9516908213
scaf0329313.1,Bradi1g59380.1|PACid:21822980,30.1255230126
scaf7363695.1,Bradi4g04430.1|PACid:21813974,44.578313253
scaf0134098.1,Bradi2g36550.2|PACid:21805673,43.0379746835
scaf0134098.2,Bradi4g03215.1|PACid:21812746,43.4156378601
scaf0359053.1,Bradi2g14840.1|PACid:21804737,45.0704225352
scaf0096411.2,Bradi2g36550.2|PACid:21805673,36.7088607595
scaf0096411.1,Bradi1g52367.1|PACid:21816739,5.42797494781
scaf0359053.2,Bradi2g40480.1|PACid:21803379,8.94736842105
scaf0168906.1,Bradi4g33850.1|PACid:21813905,27.6041666667
scaf0327910.2,Bradi2g00760.1|PACid:21804468,37.6528117359
scaf7362292.1,Bradi3g45950.1|PACid:21833569,1.30081300813
scaf0327910.1,Bradi4g10320.1|PACid:21812170,44.74393531
scaf0199360.2,Bradi5g15710.1|PACid:21824377,8.04289544236
scaf0133533.1,Bradi3g50100.1|PACid:21830059,36.6598778004
scaf0035766.1,Bradi1g77490.1|PACid:21815245,18.7004754358
scaf0200432.2,Bradi5g12590.1|PACid:21824884,8.40840840841
scaf0200432.1,Bradi3g47000.1|PACid:21832772,34.5505617978
scaf0035766.2,Bradi1g35940.1|PACid:21815769,16.3727959698
scaf0385632.1,Bradi2g34680.1|PACid:21803302,7.0996978852
scaf0385632.2,Bradi4g32250.1|PACid:21811327,12.9133858268
scaf0291239.1,Bradi1g37860.1|PACid:21823284,14.4262295082
scaf0435680.2,Bradi1g52220.1|PACid:21814945,4.914004914
scaf0294254.1,Bradi4g39940.1|PACid:21810866,45.9349593496
scaf7363932.1,Bradi1g59070.1|PACid:21816711,45.7413249211
scaf0431599.2,Bradi1g67900.1|PACid:21815382,9.55165692008
scaf0332373.1,Bradi2g04847.1|PACid:21804532,7.92767732962
scaf0093090.1,Bradi1g35477.1|PACid:21822230,48.1276005548
scaf0053325.2,Bradi1g66910.1|PACid:21817683,44.2804428044
scaf0053325.3,Bradi3g32510.1|PACid:21827286,52.6490066225
scaf0104920.2,Bradi4g01910.1|PACid:21812676,42.802303263
scaf0104920.3,Bradi1g02800.1|PACid:21816668,5.38674033149
scaf0202276.1,Bradi2g28007.1|PACid:21803461,0.60802594244
scaf0399521.3,Bradi2g23310.1|PACid:21808985,39.797979798
scaf0399521.2,Bradi4g36310.1|PACid:21813699,30.3630363036
scaf0104920.5,Bradi2g55290.1|PACid:21809172,26.2
scaf0135252.2,Bradi3g52710.1|PACid:21832783,26.8292682927
scaf0135252.1,Bradi3g52720.1|PACid:21827906,5.45454545455
scaf0295860.1,Bradi1g62880.1|PACid:21821964,22.4137931034
scaf0339707.1,Bradi5g19900.1|PACid:21826197,13.0982367758
scaf0048006.1,Bradi3g14460.1|PACid:21831790,27.8825995807
scaf0249908.1,Bradi1g58080.1|PACid:21820555,43.36492891
scaf0100927.1,Bradi1g13690.1|PACid:21817164,25.2072968491
scaf0372732.1,Bradi5g21700.1|PACid:21825654,39.8340248963
scaf0095984.4,Bradi4g28170.1|PACid:21810819,8.33333333333
scaf0095984.3,Bradi4g42200.1|PACid:21813256,51.3440860215
scaf0416349.2,Bradi3g26680.1|PACid:21831858,8.9552238806
scaf0038683.2,Bradi5g08830.1|PACid:21823938,25.9615384615
scaf0038683.3,Bradi1g66650.1|PACid:21820691,11.9808306709
scaf0358793.1,Bradi4g07830.1|PACid:21814551,10.9970674487
scaf0374433.1,Bradi1g77020.1|PACid:21820860,50.9652509653
scaf0435754.1,Bradi4g39880.1|PACid:21811610,30.6188925081
scaf0146850.1,Bradi2g38947.1|PACid:21805022,48.1520591341
scaf0291399.1,Bradi5g24870.1|PACid:21826508,12.4814264487
scaf0198172.1,Bradi1g07150.1|PACid:21821623,2.67857142857
scaf0044740.1,Bradi4g40090.1|PACid:21810376,45.8923512748
scaf0398365.1,Bradi3g06550.1|PACid:21828766,59.6774193548
scaf0273527.2,Bradi4g39067.1|PACid:21811554,18.4331797235
scaf0273527.1,Bradi2g08230.1|PACid:21808903,59.2592592593
scaf0019226.1,Bradi1g53540.1|PACid:21823481,10.5603448276
scaf0171697.3,Bradi1g64800.1|PACid:21815426,24.8322147651
scaf0171697.2,Bradi4g05360.1|PACid:21809929,31.6642120766
scaf0171697.1,Bradi4g32230.1|PACid:21809868,45.0226244344
scaf0067519.1,Bradi2g40500.2|PACid:21804842,38.1374722838
scaf0428911.1,Bradi3g30277.1|PACid:21828622,42.8715874621
scaf0171697.4,Bradi3g35210.1|PACid:21827924,34.7448425624
scaf0230549.4,Bradi2g44936.1|PACid:21807717,42.7480916031
scaf0230549.3,Bradi1g44957.1|PACid:21815086,54.356846473
scaf0230549.2,Bradi1g26197.1|PACid:21818390,36.2091503268
scaf0230549.1,Bradi1g54700.1|PACid:21820351,30.7490144547
scaf0141614.1,Bradi4g41367.1|PACid:21814402,38.5093167702
scaf0244867.1,Bradi1g72330.1|PACid:21820864,44.0677966102
scaf0164702.2,Bradi5g19500.1|PACid:21825794,21.8181818182
scaf0291385.1,Bradi4g35450.1|PACid:21810981,26.706231454
scaf0291385.2,Bradi3g59960.1|PACid:21832696,51.4231499051
scaf0164702.1,Bradi2g32670.1|PACid:21803722,49.6062992126
scaf0109777.3,Bradi3g10920.2|PACid:21828876,9.72762645914
scaf0109777.1,Bradi5g26030.1|PACid:21824574,37.9834254144
scaf0313857.1,Bradi1g67570.1|PACid:21815756,2.50737463127
scaf0329988.1,Bradi4g29240.1|PACid:21813368,19.5250659631
scaf0276698.1,Bradi3g12950.1|PACid:21827724,18.1690140845
scaf0434192.1,Bradi5g12080.1|PACid:21824398,35.8552631579
scaf0434192.2,Bradi5g21497.1|PACid:21823822,28.1795511222
scaf0435290.1,Bradi3g38350.1|PACid:21827023,25.9953161593
scaf0236797.2,Bradi1g63380.1|PACid:21822865,5.84415584416
scaf0236797.3,Bradi1g37920.1|PACid:21819645,48.6590038314
scaf0015937.2,Bradi3g26770.1|PACid:21828107,50.1228501229
scaf0015937.1,Bradi1g62450.1|PACid:21821717,50.8021390374
scaf0180940.1,Bradi5g16900.1|PACid:21824731,41.6176470588
scaf0290178.1,Bradi1g23550.1|PACid:21815632,0.28818443804
scaf0266453.1,Bradi4g03767.1|PACid:21811359,24.0246406571
scaf0232689.2,Bradi4g06080.1|PACid:21811039,21.645021645
scaf0197785.1,Bradi2g09850.1|PACid:21803527,12.8172588832
scaf0151607.1,Bradi1g24630.1|PACid:21817922,33.5144927536
scaf0425738.1,Bradi1g72220.1|PACid:21815841,61.5212527964
scaf0256581.1,Bradi2g44970.1|PACid:21807551,11.6279069767
scaf0042169.4,Bradi3g14120.3|PACid:21830872,49.1124260355
scaf0042169.2,Bradi3g46800.1|PACid:21828131,28.4584980237
scaf0042169.3,Bradi1g77340.1|PACid:21816518,11.3300492611
scaf0256400.2,Bradi3g30140.1|PACid:21833572,12.3563218391
scaf0256400.1,Bradi3g30150.1|PACid:21829269,12.6086956522
scaf0432629.1,Bradi3g35020.1|PACid:21828715,17.0873786408
scaf0076460.1,Bradi3g10200.1|PACid:21832836,9.21658986175
scaf0328653.1,Bradi3g28100.1|PACid:21830865,51.7333333333
scaf0288605.1,Bradi2g04440.1|PACid:21803513,2.12264150943
scaf0202375.1,Bradi1g42280.1|PACid:21822375,22.7430555556
scaf0202375.3,Bradi2g22840.1|PACid:21807927,29.2391304348
scaf0202375.2,Bradi2g49220.1|PACid:21805655,7.8431372549
scaf0202375.4,Bradi2g49200.1|PACid:21807792,9.03490759754
scaf0241855.1,Bradi2g41270.1|PACid:21804688,17.7914110429
scaf0179360.1,Bradi2g45330.1|PACid:21805949,10.5172413793
scaf0179360.2,Bradi4g28220.1|PACid:21813008,24.173553719
scaf0179360.3,Bradi2g60050.1|PACid:21809731,19.1256830601
scaf0290820.1,Bradi4g31380.1|PACid:21810529,48.8505747126
scaf0061578.1,Bradi2g10770.1|PACid:21809636,1.45631067961
scaf0350675.1,Bradi5g23610.1|PACid:21824854,7.2202166065
scaf7363138.1,Bradi1g04710.1|PACid:21822187,11.4678899083
scaf0366936.1,Bradi3g43350.1|PACid:21829151,4.31691213814
scaf0366936.2,Bradi3g43350.1|PACid:21829151,0.609446419502
scaf0006497.1,Bradi2g02830.1|PACid:21804413,28.5178236398
scaf0006497.2,Bradi2g02830.1|PACid:21804413,34.521575985
scaf0308420.2,Bradi3g34410.1|PACid:21830041,53.0933633296
scaf0411389.1,Bradi2g17120.1|PACid:21807913,58.6206896552
scaf0374170.1,Bradi2g16840.1|PACid:21807791,32.8828828829
scaf0374170.2,Bradi5g02340.1|PACid:21826095,11.0843373494
scaf0288136.1,Bradi3g46920.1|PACid:21830930,21.5767634855
scaf0284932.1,Bradi2g58020.1|PACid:21805976,21.2802768166
scaf0242194.1,Bradi1g53140.1|PACid:21822199,5.05836575875
scaf0160985.1,Bradi1g45860.1|PACid:21821140,12.1031746032
scaf0175896.1,Bradi3g04210.1|PACid:21826968,19.2999053926
scaf0301312.1,Bradi3g47472.1|PACid:21831053,15.5097613883
scaf0072586.1,Bradi1g25552.1|PACid:21822515,42.7719821162
scaf0072586.2,Bradi5g26790.1|PACid:21824842,47.9704797048
scaf0013921.1,Bradi1g64340.1|PACid:21816763,12.1037463977
scaf0435953.1,Bradi5g18940.1|PACid:21825443,50.622406639
scaf0213306.1,Bradi3g13380.1|PACid:21831052,22.5589225589
scaf0432712.1,Bradi4g37900.1|PACid:21813133,51.8018018018
scaf0032858.1,Bradi2g13130.1|PACid:21805666,15.9559834938
scaf0209233.1,Bradi1g27130.1|PACid:21815600,32.0
scaf0206026.1,Bradi4g00800.1|PACid:21811677,21.6666666667
scaf0376457.1,Bradi3g52650.1|PACid:21830736,18.4834123223
scaf0332288.1,Bradi4g15740.1|PACid:21811335,56.9192751236
scaf0417904.1,Bradi3g01770.1|PACid:21832964,5.71428571429
scaf0436284.2,Bradi4g22690.1|PACid:21814677,12.6865671642
scaf0242095.1,Bradi3g37350.1|PACid:21827110,22.1122112211
scaf0242095.2,Bradi3g45667.1|PACid:21828619,52.6813880126
scaf0434818.1,Bradi1g38730.1|PACid:21820024,12.602739726
scaf0363071.1,Bradi1g72880.1|PACid:21819866,5.34979423868
scaf0274897.1,Bradi2g16160.1|PACid:21802821,38.7351778656
scaf0017203.1,Bradi3g23140.1|PACid:21831808,5.98591549296
scaf0427503.1,Bradi5g10954.1|PACid:21825994,56.7669172932
scaf0257523.1,Bradi2g24050.1|PACid:21806877,1.09409190372
scaf0271430.1,Bradi2g07110.3|PACid:21808742,28.9094650206
scaf0271430.3,Bradi2g07125.1|PACid:21808169,22.4264705882
scaf0071703.1,Bradi2g59080.1|PACid:21807034,17.5609756098
scaf0108239.2,Bradi2g51450.1|PACid:21806031,5.94405594406
scaf0108239.1,Bradi2g51430.1|PACid:21804022,6.15384615385
scaf0372055.1,Bradi3g48580.1|PACid:21827670,41.7661097852
scaf0315835.1,Bradi4g21950.1|PACid:21812414,55.9210526316
scaf0134929.1,Bradi2g50520.1|PACid:21803724,10.8490566038
scaf0015047.1,Bradi5g03450.1|PACid:21826394,27.731092437
scaf0307370.1,Bradi5g09670.1|PACid:21825369,48.1981981982
scaf0059870.1,Bradi4g32650.1|PACid:21810734,28.3185840708
scaf0057960.1,Bradi1g11530.1|PACid:21816627,16.1879895561
scaf0416483.2,Bradi1g43540.1|PACid:21821608,37.0967741935
scaf0101267.1,Bradi1g78140.1|PACid:21820756,49.3939393939
scaf0096190.1,Bradi2g04680.1|PACid:21803919,40.7582938389
scaf0070165.1,Bradi5g01050.1|PACid:21824908,37.34375
scaf0045185.1,Bradi1g30110.1|PACid:21815507,24.5980707395
scaf0010437.2,Bradi4g05110.2|PACid:21810332,5.77849117175
scaf0386655.1,Bradi3g34540.1|PACid:21828770,62.1383647799
scaf0422254.1,Bradi4g23080.1|PACid:21813960,41.5417558887
scaf0386655.2,Bradi2g40490.3|PACid:21803709,37.3211963589
scaf0194840.1,Bradi3g01110.1|PACid:21830386,49.896049896
scaf0335953.1,Bradi2g26240.1|PACid:21808803,15.2623211447
scaf0121187.2,Bradi1g70370.1|PACid:21815268,59.9173553719
scaf0121187.1,Bradi4g25140.1|PACid:21810769,9.54356846473
scaf0374974.2,Bradi5g10050.1|PACid:21825999,11.0016420361
scaf0374974.3,Bradi3g45327.1|PACid:21827669,7.5
scaf0249743.1,Bradi5g23460.1|PACid:21825577,36.9127516779
scaf0054694.1,Bradi3g07000.2|PACid:21829399,17.14922049
scaf0189677.1,Bradi2g41117.1|PACid:21809389,4.85232067511
scaf0079468.3,Bradi5g04567.1|PACid:21823975,19.8107957707
scaf0310576.1,Bradi1g45330.1|PACid:21816926,34.9081364829
scaf0363506.1,Bradi1g42830.1|PACid:21815594,44.6088794926
scaf0207734.1,Bradi2g14210.1|PACid:21809288,24.0343347639
scaf0289357.1,Bradi1g20630.1|PACid:21822830,25.6756756757
scaf0065153.1,Bradi3g33020.1|PACid:21832532,41.6201117318
scaf0132506.5,Bradi1g46570.1|PACid:21818970,27.4566473988
scaf0231831.1,Bradi3g16480.1|PACid:21827600,16.9787765293
scaf0254903.4,Bradi3g16680.1|PACid:21831418,23.6514522822
scaf0254903.3,Bradi3g50030.1|PACid:21832859,10.8455882353
scaf0386963.1,Bradi4g39060.1|PACid:21810309,35.3642384106
scaf0029947.3,Bradi1g57540.1|PACid:21815987,34.3023255814
scaf0352604.1,Bradi1g03910.1|PACid:21818581,13.353115727
scaf0016404.1,Bradi3g56410.1|PACid:21829506,10.7049608355
scaf0360219.1,Bradi5g16120.1|PACid:21825262,57.0264765784
scaf0033661.1,Bradi4g34190.1|PACid:21811714,21.2918660287
scaf0076304.1,Bradi3g14740.1|PACid:21832348,50.2935420744
scaf0351904.1,Bradi1g58260.1|PACid:21821022,48.3629560337
scaf0028495.1,Bradi3g55040.1|PACid:21827486,52.5751072961
scaf0259277.2,Bradi1g24360.1|PACid:21819112,17.0340681363
scaf0259277.1,Bradi2g59047.1|PACid:21805573,6.68202764977
scaf0127173.2,Bradi1g54260.1|PACid:21819732,55.6135770235
scaf0084152.1,Bradi4g28990.1|PACid:21811250,23.1292517007
scaf0022657.1,Bradi1g20820.1|PACid:21820046,47.4137931034
scaf0085461.1,Bradi2g16820.1|PACid:21806982,14.03678606
scaf0405926.1,Bradi5g20120.1|PACid:21825285,28.8333333333
scaf0405926.2,Bradi1g68420.1|PACid:21823032,36.013986014
scaf0061920.4,Bradi4g16340.1|PACid:21811723,60.3206412826
scaf0202785.1,Bradi5g08820.1|PACid:21825350,39.0322580645
scaf0202785.2,Bradi1g05162.1|PACid:21815975,39.1223155929
scaf0061920.1,Bradi1g10490.1|PACid:21815661,15.2542372881
scaf0419635.1,Bradi2g46190.1|PACid:21804016,28.6532951289
scaf0224696.1,Bradi3g56087.1|PACid:21829110,18.8139059305
scaf0435019.1,Bradi3g42470.1|PACid:21827305,45.3781512605
scaf0224696.2,Bradi5g26867.1|PACid:21824389,23.2927970065
scaf0017133.1,Bradi3g35027.1|PACid:21832070,66.6019417476
scaf0322155.2,Bradi4g16492.1|PACid:21812139,33.4792122538
scaf0073796.1,Bradi2g36150.1|PACid:21804683,37.4316939891
scaf0410420.1,Bradi2g07980.1|PACid:21807531,26.0628465804
scaf0410420.2,Bradi3g01730.3|PACid:21830927,2.85714285714
scaf0150449.1,Bradi1g23460.1|PACid:21819850,28.6324786325
scaf0436048.1,Bradi4g21730.1|PACid:21813361,30.1886792453
scaf0023429.2,Bradi3g55040.1|PACid:21827486,53.8626609442
scaf0156288.1,Bradi3g34540.1|PACid:21828770,28.3018867925
scaf0156288.2,Bradi1g10120.1|PACid:21819630,19.6172248804
scaf0209050.1,Bradi1g67370.1|PACid:21822890,4.2194092827
scaf0188422.3,Bradi1g12250.1|PACid:21821625,12.7536231884
scaf0188422.2,Bradi1g12260.1|PACid:21818864,0.862068965517
scaf0394928.1,Bradi4g44960.1|PACid:21814437,13.1355932203
scaf0293682.1,Bradi3g04467.1|PACid:21830722,15.2542372881
scaf0293682.2,Bradi1g09260.1|PACid:21821774,4.9710982659
scaf0173170.1,Bradi3g57920.1|PACid:21830206,51.4492753623
scaf0263916.1,Bradi1g24410.1|PACid:21815169,21.1538461538
scaf0178974.1,Bradi4g27880.1|PACid:21814123,11.6343490305
scaf0005986.1,Bradi2g03760.1|PACid:21806033,11.8811881188
scaf0044176.2,Bradi1g55697.1|PACid:21816142,52.6530612245
scaf0159481.2,Bradi5g17370.1|PACid:21825688,18.9189189189
scaf0245534.2,Bradi3g48410.1|PACid:21828956,37.5
scaf0159481.1,Bradi5g17360.1|PACid:21825451,4.47470817121
scaf0052165.1,Bradi1g00710.1|PACid:21821887,4.44444444444
scaf0009968.2,Bradi3g28530.1|PACid:21831514,15.4013015184
scaf0010520.1,Bradi1g19830.1|PACid:21820577,3.72340425532
scaf0131544.1,Bradi2g40740.1|PACid:21804946,44.1364605544
scaf0196218.1,Bradi2g48597.1|PACid:21804286,7.74550484094
scaf0245847.1,Bradi1g30672.1|PACid:21820772,32.457496136
scaf0423457.1,Bradi1g53450.1|PACid:21822431,21.1764705882
scaf0152480.2,Bradi2g33690.1|PACid:21805646,13.2075471698
scaf0077723.2,Bradi3g52460.2|PACid:21833145,4.19161676647
scaf0260460.1,Bradi5g05640.1|PACid:21824078,24.6338215712
scaf0077723.1,Bradi5g20340.1|PACid:21826585,26.8844221106
scaf0413510.1,Bradi3g56540.1|PACid:21827940,29.3375394322
scaf0259048.4,Bradi4g27334.1|PACid:21810295,48.0373831776
scaf0259048.2,Bradi1g75610.1|PACid:21816788,48.0836236934
scaf0006945.1,Bradi1g20580.1|PACid:21817561,8.67346938776
scaf0259048.1,Bradi1g18400.1|PACid:21814860,28.9915966387
scaf0129732.1,Bradi1g55067.1|PACid:21817007,30.6024096386
scaf0075830.1,Bradi3g02997.1|PACid:21832512,19.6511627907
scaf0129732.3,Bradi1g29693.1|PACid:21819129,50.989010989
scaf0096450.2,Bradi2g43950.1|PACid:21803580,28.992248062
scaf0096450.1,Bradi2g07530.1|PACid:21808021,15.0812064965
scaf0402968.1,Bradi2g22897.1|PACid:21805433,0.699300699301
scaf0434725.1,Bradi3g06000.1|PACid:21829121,38.1097560976
scaf0057873.1,Bradi1g72510.4|PACid:21815379,41.5357766143
scaf0220581.1,Bradi1g69300.1|PACid:21820309,43.7096774194
scaf0435868.1,Bradi3g02130.1|PACid:21832218,7.09090909091
scaf0129744.3,Bradi1g07755.1|PACid:21821570,23.6616702355
scaf0129744.2,Bradi2g51777.1|PACid:21808094,46.6973886329
scaf0129744.1,Bradi4g08907.1|PACid:21812468,9.90909090909
scaf0434358.1,Bradi2g45010.1|PACid:21805832,32.0069204152
scaf0434358.2,Bradi2g08905.1|PACid:21805113,16.8674698795
scaf0118416.1,Bradi4g07040.1|PACid:21812927,5.49450549451
scaf0357101.1,Bradi2g11550.1|PACid:21809001,14.0625
scaf0420142.5,Bradi2g31120.2|PACid:21804429,10.5263157895
scaf0420142.4,Bradi3g03930.1|PACid:21831811,9.31758530184
scaf0420142.3,Bradi1g64220.1|PACid:21822724,34.0148698885
scaf0435610.1,Bradi1g09300.3|PACid:21815737,36.3106796117
scaf0432407.1,Bradi1g60540.1|PACid:21822028,28.2894736842
scaf0034245.1,Bradi3g18720.1|PACid:21828862,17.375
scaf0428315.1,Bradi5g21097.1|PACid:21824285,33.3333333333
scaf0128704.1,Bradi2g44820.1|PACid:21807773,56.2874251497
scaf0016579.2,Bradi2g62630.1|PACid:21807766,1.32450331126
scaf0430326.1,Bradi1g26900.1|PACid:21822233,26.5612648221
scaf0072310.3,Bradi2g16160.1|PACid:21802821,37.1541501976
scaf0101764.2,Bradi2g17120.1|PACid:21807913,52.5862068966
scaf0101764.1,Bradi1g37490.1|PACid:21818228,20.2898550725
scaf0100697.2,Bradi0014s00200.2|PACid:21826762,62.7815866797
scaf0100697.1,Bradi1g00237.1|PACid:21822372,18.1721572795
scaf0343720.1,Bradi3g43390.1|PACid:21827458,28.2828282828
scaf0004912.1,Bradi2g46620.1|PACid:21808281,17.032967033
scaf0187490.1,Bradi1g00470.1|PACid:21818405,17.8181818182
scaf0098819.1,Bradi1g42610.1|PACid:21820812,39.5470383275
scaf0229989.3,Bradi5g17657.1|PACid:21824395,4.61285008237
scaf0417213.1,Bradi1g52700.1|PACid:21819811,2.57510729614
scaf0425686.2,Bradi1g31650.1|PACid:21820746,25.2413793103
scaf0425686.1,Bradi3g40580.1|PACid:21830807,24.9614791988
scaf0261223.2,Bradi3g14460.1|PACid:21831790,21.8029350105
scaf0173858.1,Bradi1g60817.2|PACid:21815449,31.1459353575
scaf0173858.2,Bradi5g08180.1|PACid:21826579,16.8539325843
scaf0261223.1,Bradi1g62590.1|PACid:21816440,6.46651270208
scaf0358102.1,Bradi1g17700.1|PACid:21822667,13.9204545455
scaf0248707.1,Bradi5g20827.1|PACid:21826457,46.9387755102
scaf0200602.1,Bradi5g12020.1|PACid:21826067,7.46561886051
scaf0067243.1,Bradi1g54050.1|PACid:21823382,1.42045454545
scaf0092861.1,Bradi5g22187.1|PACid:21826130,47.4014848658
scaf0361303.1,Bradi2g37580.1|PACid:21804113,34.1101694915
scaf0275480.1,Bradi1g67200.1|PACid:21820513,23.9904988124
scaf0431617.1,Bradi2g51350.1|PACid:21803573,1.20481927711
scaf0113553.1,Bradi1g07290.1|PACid:21816302,35.5905511811
scaf0013849.1,Bradi1g42880.1|PACid:21818808,26.2839879154
scaf0287710.1,Bradi1g58370.1|PACid:21820552,50.7462686567
scaf0287710.2,Bradi2g04220.1|PACid:21802832,10.4166666667
scaf0430763.2,Bradi3g60090.1|PACid:21833007,13.7546468401
scaf0277607.1,Bradi4g20750.1|PACid:21811426,9.15662650602
scaf0089798.1,Bradi4g43137.1|PACid:21811998,46.2395543175
scaf0015793.1,Bradi5g18220.1|PACid:21826560,32.6848249027
scaf0320937.2,Bradi2g05350.1|PACid:21808747,28.8888888889
scaf0208057.1,Bradi1g03180.1|PACid:21820678,8.96103896104
scaf0320937.1,Bradi3g42330.1|PACid:21830645,50.7075471698
scaf0284970.1,Bradi1g05650.1|PACid:21822519,15.9926470588
scaf0338015.1,Bradi2g52417.1|PACid:21802990,55.5393586006
scaf0034856.1,Bradi2g39840.1|PACid:21806995,7.39957716702
scaf0435198.1,Bradi2g11970.1|PACid:21804317,17.1215880893
scaf0091973.1,Bradi4g20547.1|PACid:21811672,20.7349081365
scaf0404304.1,Bradi2g62760.1|PACid:21805209,0.104004160166
scaf0259135.1,Bradi2g12530.1|PACid:21808150,1.57126823793
scaf0147655.1,Bradi2g51255.2|PACid:21809525,31.3996316759
scaf0429196.1,Bradi3g03360.1|PACid:21831385,13.6470588235
scaf0106464.1,Bradi2g02410.1|PACid:21802997,31.8181818182
scaf0106464.2,Bradi2g11080.1|PACid:21805839,26.0465116279
scaf7363030.1,Bradi2g35160.1|PACid:21808698,25.974025974
scaf0386240.2,Bradi3g52480.1|PACid:21827093,37.3317013464
scaf0236586.1,Bradi3g15560.1|PACid:21833706,11.5492957746
